"file_name","value"
"A16598.txt",-0.928273618221283
"A09491.txt",-1.48348617553711
"A13345.txt",-1.96202337741852
"B01212.txt",-1.42530167102814
"A09441.txt",-2.59989929199219
"A11512.txt",-2.109290599823
"A10036.txt",-1.27631187438965
"A02131.txt",-2.5119788646698
"B15216.txt",-1.09826934337616
"B16048.txt",-2.60791921615601
"A68930.txt",-0.834179997444153
"B11957.txt",-1.73786902427673
"B15207.txt",-1.9859516620636
"A20964.txt",-1.19523143768311
"A14794.txt",-1.98610901832581
"A12995.txt",-0.778917193412781
"A08826.txt",-1.41034317016602
"A10081.txt",-0.463843703269958
"A01202.txt",-1.50361156463623
"A20505.txt",-2.32462787628174
"A16568.txt",-1.29810392856598
"A14802.txt",-1.84233522415161
"B15582.txt",-2.6391613483429
"B12950.txt",-1.84821975231171
"A05689.txt",-0.729146778583527
"A14114.txt",-2.41312742233276
"A01292.txt",-2.15781664848328
"A10473.txt",-2.40153527259827
"A03897.txt",-2.49014949798584
"A10050.txt",-1.82346177101135
"A16552.txt",-2.83167314529419
"A04889.txt",-1.40480875968933
"A03344.txt",-0.303505092859268
"A69235.txt",-1.45395934581757
"A20759.txt",-1.77750945091248
"A19807.txt",-2.93811082839966
"A35228.txt",-1.21972918510437
"A72233.txt",-1.36229968070984
"A10739.txt",-2.06897664070129
"A15731.txt",-0.70125937461853
"A20775.txt",-1.66687715053558
"A73755.txt",-2.30754160881042
"A16900.txt",-1.93849384784698
"A68832.txt",-1.10821378231049
"A21876.txt",-2.94982933998108
"B00721.txt",-0.505917072296143
"A04110.txt",-1.98211121559143
"A01374.txt",-0.728728950023651
"A02191.txt",-1.98410844802856
"A14975.txt",-3.00269412994385
"A16678.txt",-2.74231219291687
"B13489.txt",-0.923764526844025
"A08070.txt",-2.28549337387085
"A15315.txt",-2.23653054237366
"A68624.txt",-1.93591582775116
"A15800.txt",-2.27870440483093
"A20540.txt",-0.781069338321686
"A16492.txt",-1.03735756874084
"A18243.txt",-1.55234014987946
"A01291.txt",-2.12334752082825
"A08276.txt",-1.39647507667542
"B11431.txt",-1.3993171453476
"A19036.txt",-2.23117899894714
"A02982.txt",-2.20505332946777
"B12232.txt",-1.63211667537689
"A68588.txt",-3.13288760185242
"A15385.txt",-0.845413208007812
"A00502.txt",-0.535613358020782
"A07552.txt",-2.26442408561706
"A11537.txt",-1.85225176811218
"A22124.txt",-3.38778853416443
"A68463.txt",-2.06651973724365
"A14801.txt",-1.6617488861084
"A02723.txt",-1.95292890071869
"A73600.txt",-0.271180719137192
"A08799.txt",-1.4443222284317
"A10295.txt",-1.53739023208618
"A12086.txt",-3.22449111938477
"B00242.txt",-1.48907804489136
"A16506.txt",-1.18240535259247
"A00675.txt",-2.89465713500977
"A13755.txt",-0.911088764667511
"A08130.txt",-0.857840418815613
"A73426.txt",-1.68833780288696
"A06068.txt",-0.482344627380371
"A13835.txt",-1.07220888137817
"A19676.txt",-3.04217100143433
"A03713.txt",-1.82392179965973
"A01491.txt",-2.21631765365601
"A11541.txt",-1.85225176811218
"A09676.txt",-0.107052803039551
"A15012.txt",-1.53425908088684
"A73707.txt",0.184478759765625
"A03096.txt",-2.39079070091248
"A21055.txt",-0.26152977347374
"A10562.txt",-2.26789045333862
"A09974.txt",-1.25804316997528
"B12105.txt",-1.75789380073547
"A20936.txt",-0.906744480133057
"B07590.txt",-2.1039867401123
"A05198.txt",-2.08080959320068
"A01787.txt",-1.96980392932892
"B13601.txt",-2.21409559249878
"A08680.txt",-1.90796768665314
"A18208.txt",-0.96514481306076
"A05102.txt",-2.21617245674133
"A04961.txt",-2.64258980751038
"A06737.txt",-2.66787910461426
"A06370.txt",-1.5192037820816
"A08402.txt",-1.86256957054138
"A15137.txt",-1.76082420349121
"A12190.txt",-1.44304287433624
"A00416.txt",-1.750483751297
"A18711.txt",-2.489901304245
"A09353.txt",-0.41499850153923
"A04230.txt",-0.816720008850098
"A08578.txt",-1.02119672298431
"A09579.txt",-0.901045083999634
"A68781.txt",-2.20194244384766
"A10038.txt",-1.37218117713928
"A09284.txt",-1.82743203639984
"A03426.txt",-2.60865139961243
"A20953.txt",-2.05141854286194
"A20517.txt",-1.67748689651489
"A09255.txt",-2.35180139541626
"A06635.txt",-1.38859176635742
"A73175.txt",-0.456504732370377
"A15495.txt",-1.44898641109467
"B11821.txt",-1.04379487037659
"A04251.txt",-0.73045289516449
"A17889.txt",-0.433177560567856
"A15445.txt",-1.60476529598236
"A19060.txt",-2.00294208526611
"A05138.txt",-0.866599261760712
"A72064.txt",-1.09587359428406
"A16529.txt",-0.599137604236603
"A21065.txt",-0.187090173363686
"A08329.txt",-1.20610642433167
"B12363.txt",-2.44599604606628
"A68659.txt",-2.34457445144653
"A04062.txt",-2.26338720321655
"B13079.txt",-2.61496496200562
"A10559.txt",-1.4425755739212
"B14980.txt",-2.48757910728455
"A17514.txt",-1.24095571041107
"A04774.txt",-0.470834344625473
"A07767.txt",-2.57075667381287
"B16008.txt",-1.16503584384918
"A03232.txt",-1.60361230373383
"A19037.txt",-2.11730718612671
"A15694.txt",-2.27236890792847
"A14784.txt",-2.21906900405884
"A03639.txt",-1.50499856472015
"A03411.txt",-2.59896683692932
"A01735.txt",-0.537994563579559
"A16754.txt",-2.54986882209778
"A21050.txt",-0.97237765789032
"A01615.txt",-1.93549418449402
"A07204.txt",-1.06755590438843
"A73756.txt",-1.37161111831665
"A15528.txt",-0.756374657154083
"A17145.txt",-1.11769425868988
"A07763.txt",-2.13999795913696
"A14936.txt",-3.238276720047
